Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,Antenna,,,A1,,,243,,,
2,1,DNM,,,C1,,,133,,,
3,1,100nF,,,C2,,,130,,,
4,1,100nF,,,C3,,,115,,,
5,1,10uF,,,C4,,,112,,,
6,1,100nF,,,C5,,,109,,,
7,1,10µF,,,C6,,,193,,,
8,1,100nF,,,C7,,,190,,,
9,1,100nF,,,C8,,,184,,,
10,1,DNM,,,C9,,,127,,,
11,1,1µF,,,C10,,,196,,,
12,1,12pF,,,C11,,,199,,,
13,1,12pF,,,C12,,,121,,,
14,1,100 nF,,,C13,,,124,,,
15,1,12 pF,,,C14,,,216,,,
16,1,1.2 pF,,,C15,,,219,,,
17,1,1.2 pF,,,C16,,,213,,,
18,1,470 µF,"Surface Mount, Aluminum Electrolytic",,C17,,,318,,,
19,1,1 µF,Cap Ceramic 1uF 10V X7R 10% Pad SMD 0603 125C T/R,,C18,,,292,,,
20,1,4.7 µF,,,C19,,,321,,,
21,1,10 µF,,,C20,,,315,,,
22,1,4.7 µF,,,C21,,,353,,,
23,1,FTSH-105-01-F-DV,,,CON1,,,248,,,
24,1,SS14,"MULTICOMP - SS14 - Schottky Rectifier, 40 V, 1 A, Single, DO-214AC (SMA), 2 Pins, 750 mV",,D1,,,289,,,
25,1,M7,Standard recovery rectifier diode,,D2,,,380,,,
26,1,CONN_03P_00C_1,"PCB terminal block, nominal current: 6 A, rated voltage (III/2): 160 V, nominal cross section: 0.5 mm, number of potentials: 3, Number of rows: 1, Number of positions per row: 3, product range: MPT 0,5, pitch: 2.54 mm, connection method: Screw connection",1725669,J1,Phoenix Contact,1725669,174,,,
27,1,USB-C connector - data pins,"Universal Serial Bus (USB) Shielded I/O Receptacle, Type C, Right-Angle,  Mid-Mount, Surface Mount, Gold (Au) Flash over 0.75m Palladium Nickel Plating, 0.70mm Solder Tab, Paper Reel",,J2,,,295,,,
28,1,Solar Panel,"PCB terminal block, nominal current: 13.5 A, nom. voltage: 400 V, pitch: 5.08 mm, number of positions: 2, connection method: Screw connection with tension sleeve, mounting: Wave soldering, conductor/PCB connection direction: 0 , color: green",,J3,,,356,,,
29,1,USB-C connector - power pins,"Universal Serial Bus (USB) Shielded I/O Receptacle, Type C, Right-Angle,  Mid-Mount, Surface Mount, Gold (Au) Flash over 0.75m Palladium Nickel Plating, 0.70mm Solder Tab, Paper Reel",,J4,,,344,,,
30,1,Battery,CONNECTOR; MALE; THROUGH HOLE; 2.0MM PITCH; DISCONNECTABLE CRIMP STYLE CONNECTOR; SIDE ENTRY TYPE; RIGHT ANGLE; 2PINS,,J5,,,283,,,
31,1,1729128,"MKDSN 1,5/ 2-5,08 - Printed circuit board terminal, nominal current: 17.5 A, rated voltage (III/2): 400 V, nominal cross section: 1.5 mm<sup>2</sup>, number of potentials: 2, number of rows: 1, number of positions per row: 2, product range: MKDSN 1,5, pitch: 5.08 mm, connection method: Screw connection with tension sleeve, screw head form: L Slotted, mounting: Wave soldering, conductor/PCB connection direction: 0 , color: green, Pin layout: Linear pinning, Solder pin [P]: 3.5 mm, number of solder pins per",,J6,,,399,,,
32,1,1.5µH,,BLM18HE152SN1D,L1,Murata,BLM18HE152SN1D,178,,,
33,1,10 uH,,,L2,,,187,,,
34,1,15 nH,,,L3,,,222,,,
35,1,2 nH,,,L4,,,228,,,
36,1,10 uH,IFSC-1515AH-01 10 20p ER E3,,L5,,,312,,,
37,1,green led,,,LED1,,,240,,,
38,1,red led,,,LED2,,,231,,,
39,1,MOSFET N,,,Q1,,,136,,,
40,1,AO3400A,30V N-Channel MOSFET,,Q2,,,395,,,
41,1,100 Ohm,,,R1,,,181,,,
42,1,1kOhm,,,R2,,,205,,,
43,1,100 kOhm,,,R3,,,202,,,
44,1,680 Ohm,,,R4,,,234,,,
45,1,680 Ohm,,,R5,,,225,,,
46,1,270 Ohm,,,R6,,,245,,,
47,1,5.1 kOhm,,,R7,,,280,,,
48,1,5.1 kOhm,,,R8,,,259,,,
49,1,2 kOhm,Thick Film Resistors - SMD 2 kOhms 100mW 0603 1%,,R9,,,262,,,
50,1,20 kOhm,"RC0603 SMD resistor,47K5 1% 0.1W (Reel) Yageo RC Series Thick Film Surface Mount Resistor 603 Case 20k +/-1% 0.1W +/-100ppm/C",,R10,,,286,,,
51,1,100 Ohm,Yageo RC Series Thick Film Surface Mount Resistor 0603 Case 100,,R11,,,389,,,
52,1,1 kOhm,Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) +/-100ppm/C Epoxy Pad SMD T/R,,R12,,,392,,,
53,1,10 kOhm,"NTC Thermistors, Insulated Leads for 185 C Applications",,RT1,,,277,,,
54,1,TS14-1212-60-BK-260-SCR-D,,,SW1,,,237,,,
55,1,Battery Charger,,,U2,,,"324,359",,,
56,1,Voltage Regulator,"28V, 0.5A Step-Down Converter with SNOOZE Mode 10-WSON -40 to 85",,U3,,,265,,,
57,1,RELAY,,,U4,,,383,,,
58,1,CC2640R2FRHB,SimpleLink 32bit Arm Cortex-M3 Bluetooth Low Energy 5.1 wireless MCU with 128kB flash 32-VQFN -40 to 85,CC2640R2FRHBR,U5,Texas Instruments,CC2640R2FRHBR,469,,,
59,1,24 MHZ,,,Y1,,,208,,,
60,1,32.768kHz,,,Y2,,,118,,,
