Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number,Assigned SKU,Assigned Manufacturer Part Number,Assigned Manufacturer Name,Design Risk Score,Market Availability,Reach Compliant,ROHS Compliant,Status,Price Range
1,,A1,Antenna,,,,,,,,,,,,
1,,C2,100 nF,,YAGEO Corp.,CC0603MRX7R8BB104,CC0603MRX7R8BB104-2039279279,CC0603MRX7R8BB104,YAGEO Corp.,10,10,,,Active,$0.00757-$0.00772
1,,C3,100 nF,,YAGEO Corp.,CC0603MRX7R8BB104,CC0603MRX7R8BB104-2039279279,CC0603MRX7R8BB104,YAGEO Corp.,10,10,,,Active,$0.00757-$0.00772
1,,C4,10 uF,,YAGEO Corp.,CC0603MRX5R6BB106,CC0603MRX5R6BB106-1824515384,CC0603MRX5R6BB106,YAGEO Corp.,10,10,,,Active,$0.02085-$0.02303
1,,C5,100 nF,,YAGEO Corp.,CC0603MRX7R8BB104,CC0603MRX7R8BB104-2039279279,CC0603MRX7R8BB104,YAGEO Corp.,10,10,,,Active,$0.00757-$0.00772
1,,C6,10 uF,,YAGEO Corp.,CC0603MRX5R6BB106,CC0603MRX5R6BB106-1824515384,CC0603MRX5R6BB106,YAGEO Corp.,10,10,,,Active,$0.02085-$0.02303
1,,C7,100 nF,,YAGEO Corp.,CC0603MRX7R8BB104,CC0603MRX7R8BB104-2039279279,CC0603MRX7R8BB104,YAGEO Corp.,10,10,,,Active,$0.00757-$0.00772
1,,C8,100 nF,,YAGEO Corp.,CC0603MRX7R8BB104,CC0603MRX7R8BB104-2039279279,CC0603MRX7R8BB104,YAGEO Corp.,10,10,,,Active,$0.00757-$0.00772
1,,C10,1 uF,,YAGEO Corp.,CC0603KRX7R6BB105,CC0603KRX7R6BB105-2039278970,CC0603KRX7R6BB105,YAGEO Corp.,10,10,,,Active,$0.01451-$0.01525
1,,C11,12 pF,,YAGEO Corp.,AC0603JRNPO9BN120,AC0603JRNPO9BN120-145001409996,AC0603JRNPO9BN120,YAGEO Corp.,10,8,,,Active,$0.01096-$0.01509
1,,C12,12 pF,,KEMET Corporation,C0603C120K5RAC7867,C0603C120K5RAC7867-912380689,C0603C120K5RAC7867,KEMET Corporation,6,0,,,Active,$0.05119-$0.05119
1,,C13,100 nF,,YAGEO Corp.,CC0603MRX7R8BB104,CC0603MRX7R8BB104-2039279279,CC0603MRX7R8BB104,YAGEO Corp.,10,10,,,Active,$0.00757-$0.00772
1,,C14,12 pF,,YAGEO Corp.,AC0603JRNPO9BN120,AC0603JRNPO9BN120-145001409996,AC0603JRNPO9BN120,YAGEO Corp.,10,8,,,Active,$0.01096-$0.01509
1,,C15,1.2 pF,,YAGEO Corp.,AC0603CRNPO9BN1R2,AC0603CRNPO9BN1R2-145001409987,AC0603CRNPO9BN1R2,YAGEO Corp.,10,4,,,Active,$0.01394-$0.01601
