Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,2.4GHz,"MECHANIC, 2.4GHz INVERTED F ANTENNA, SMD",13-00347,A1,,,17764,,,
2,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C3,,,17773,,,
3,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C4,,,17705,,,
4,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C5,,,17749,,,
5,1,10uF,"CAPACITOR, CERAMIC X5R, 10uF, 6.3V, -20%/+20%, -55DEGC/+85DEGC, 0603, SMD",02-02419,C6,,,17820,,,
6,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C7,,,19231,,,
7,1,10uF,"CAPACITOR, CERAMIC X5R, 10uF, 6.3V, -20%/+20%, -55DEGC/+85DEGC, 0603, SMD",02-02419,C8,,,17688,,,
8,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C9,,,17752,,,
9,1,1pF,"CAPACITOR, CERAMIC C0G/NP0, 1pF, 50V, -0.25pF/ +0.25pF, -55DEGC/+125DEGC, 0402, SMD",02-07627,C11,,,17743,,,
10,1,DNM_0402,"CAPACITOR, CERAMIC, TBD, -55DEGC/+125DEGC, 0402, DNM, SMD",02-07616,C12,,,17825,,,
11,1,1pF,"CAPACITOR, CERAMIC C0G/NP0, 1pF, 50V, -0.25pF/ +0.25pF, -55DEGC/+125DEGC, 0402, SMD",02-07627,C13,,,17710,,,
